,ID,True density (gcm-3),SA (m2g-1),H/C,Temp (C),True density (kgm-3),Hold time (min),Yield (%),Moisture (%),Ash (%),C (%),H (%),N (%),O (%),O/C,NMR aromaticity (%),NMR delta (ppm),VM (%),FC (%),Porosity (%),pH
0,tintner70,1.421192053,0,1.57622669,70,1421.192053,240,,,,48.62275449,6.386706949,,,,,,,,,
1,tintner70,1.405298013,0,1.541596677,70,1405.298013,240,,,,47.90419162,6.15407855,,,,,,,,,
2,G100,,1.8,1.81,100,,60,99.9,,6.9,48.6,7.25,0.64,44.1,0.69,,,69.6,23.5,,
3,W100,,1.6,1.59,100,,60,99.8,,1.2,50.6,6.68,0.05,42.7,0.63,,,77.1,21.7,,
4,Pine Wood,1.4615,,1.59,100,1461.5,60,,,,,,,,0.63,22,-0.1,,,,
5,"Ponderosa pine shavings1-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,1.6,1.584189723,100,,,,,1.2,50.6,6.68,0.05,42.7,0.632905138,,,77.1,21.7,,
6,G200,,3.3,1.81,200,,60,96.9,,5.7,47.2,7.11,0.61,45.1,0.72,,,70.7,23.6,,
7,"HW 200-Chen, C.-P et al., Geoderma 232-234 (2014) 581-588.",,,,200,,,,,11,,4.4,4.3,32.5,,,,,,,5.5
8,"FC 200-Fang, Q et al., Environmental Science & Technology 48, 1 (2013) 279-288.",,15.82,1.437512458,200,,,,,0.61,50.17,6.01,0.55,43.27,0.646850708,,,,,,8
9,"HM200-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,0.58,1.525423729,200,,,,,,47.2,6,1.29,39.3,0.624470339,,,,,,
10,Pine Wood,1.4607,,1.64,200,1460.7,60,,,,,,,,0.62,27,-0.3,,,,
11,"Ponderosa pine shavings2-Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253",,2.3,1.638506876,200,,,,,1.5,50.9,6.95,0.04,42.2,0.621807466,,,77.1,21.4,,
12,W200,,2.3,1.64,200,,60,95.9,,1.5,50.9,6.95,0.04,42.2,0.62,,,77.1,21.4,,
13,"PW 200-Li, J et al., Plant and Soil 370, 1-2 (2013) 333-344.",,,1.176744186,200,,,,,2.23,51.6,5.06,0.95,36.2,0.526162791,,,,,,
14,"PI200-Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556",,0.8,1.436293436,200,,,,,,51.8,6.2,0.27,39.6,0.573359073,,,,,,
15,Chestnut Wood,1.5101,,1.32,200,1510.1,300,,,,,,,,0.66,12,0.3,,,,
16,"Loblolly Pine 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,139.7,,250,,,,,0.3,,,,38.2,,,,61.1,38.6,,
17,Chestnut Wood,1.5043,,1.16,250,1504.3,300,,,,,,,,0.55,23,0,,,,
18,RG250,,,,250,,120,,,1,53.4,,,,,41,0.3,,,,
19,"Bubinga 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,5.4,,250,,,,,0.9,,,,34.9,,,,66.4,32.7,,
20,P250,,,,250,,60,,,5.3,49.4,,,,,32,0.1,,,,
21,"Eastern Red Cedar 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,68.1,,250,,,,,0.9,,,,31.4,,,,62.6,36.5,,
22,"Laurel Oak 250-Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301",,1.8,,250,,,,,1.4,,,,41.5,,,,66,32.6,,
23,Chestnut Wood,1.4728,,0.79,275,1472.8,300,,,,,,,,0.55,57,0.1,,,,
24,"Pine300-Hale, L., et al. Soil Biology and Biochemistry 81 (2015) 228-235.",,9.6,,300,,,,,,71.9,,0.25,,,,,,,,4.63
25,Chestnut Wood,1.4685,,0.69,300,1468.5,300,,,,,,,,0.37,71,0.5,,,,
